FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,EV,20366,EV,5339,11433,1143302,31295,DTW,14307,1430702,30721,PVD,1520,1515,-5.00,14.00,1529,1650,4.00,1711,1654,-17.00,0.00,,0.00,615.00
2015-01-01,EV,20366,EV,5342,10397,1039705,30397,ATL,11612,1161203,31612,EVV,1555,1550,-5.00,12.00,1602,1602,3.00,1615,1605,-10.00,0.00,,0.00,350.00
2015-01-01,EV,20366,EV,5343,10397,1039705,30397,ATL,13577,1357702,31135,MYR,1025,1020,-5.00,15.00,1035,1117,5.00,1136,1122,-14.00,0.00,,0.00,317.00
2015-01-01,EV,20366,EV,5343,13577,1357702,31135,MYR,10397,1039705,30397,ATL,1211,1154,-17.00,10.00,1204,1257,11.00,1333,1308,-25.00,0.00,,0.00,317.00
2015-01-01,EV,20366,EV,5344,10397,1039705,30397,ATL,15323,1532302,35323,TRI,1210,1205,-5.00,17.00,1222,1303,4.00,1313,1307,-6.00,0.00,,0.00,227.00
2015-01-01,EV,20366,EV,5344,15323,1532302,35323,TRI,10397,1039705,30397,ATL,1338,1333,-5.00,7.00,1340,1421,10.00,1446,1431,-15.00,0.00,,0.00,227.00
2015-01-01,EV,20366,EV,5345,11433,1143302,31295,DTW,11042,1104203,30647,CLE,1555,1602,7.00,16.00,1618,1640,7.00,1653,1647,-6.00,0.00,,0.00,95.00
2015-01-01,EV,20366,EV,5347,11042,1104203,30647,CLE,13487,1348702,31650,MSP,0720,0728,8.00,8.00,0736,0820,8.00,0840,0828,-12.00,0.00,,0.00,622.00
2015-01-01,EV,20366,EV,5351,10397,1039705,30397,ATL,10146,1014602,30146,ABY,1955,1948,-7.00,17.00,2005,2035,4.00,2049,2039,-10.00,0.00,,0.00,145.00
2015-01-01,EV,20366,EV,5433,15624,1562401,31504,VPS,10397,1039705,30397,ATL,1739,1728,-11.00,8.00,1736,1917,7.00,1951,1924,-27.00,0.00,,0.00,250.00
2015-01-01,EV,20366,EV,5440,13230,1323002,32070,MDT,11433,1143302,31295,DTW,1300,1255,-5.00,8.00,1303,1418,6.00,1438,1424,-14.00,0.00,,0.00,371.00
2015-01-01,EV,20366,EV,5442,10785,1078502,30785,BTV,11433,1143302,31295,DTW,1225,1221,-4.00,28.00,1249,1437,4.00,1435,1441,6.00,0.00,,0.00,537.00
2015-01-01,EV,20366,EV,5443,10397,1039705,30397,ATL,10185,1018502,30185,AEX,1615,1612,-3.00,16.00,1628,1655,2.00,1702,1657,-5.00,0.00,,0.00,500.00
2015-01-01,EV,20366,EV,5444,10397,1039705,30397,ATL,12884,1288403,32884,LAN,1950,1945,-5.00,10.00,1955,2119,5.00,2149,2124,-25.00,0.00,,0.00,631.00
2015-01-01,EV,20366,EV,5447,12953,1295302,31703,LGA,10693,1069302,30693,BNA,1600,1557,-3.00,13.00,1610,1727,6.00,1749,1733,-16.00,0.00,,0.00,764.00
